process_id,state_name,state_code_lgd,district_name,district_code_lgd,type_of_project,ngo_name,ngo_address,ngo_unique_id,project_id,project_address,scheme_project_name,scheme_project_id,form_type,acknowledgement_number,financial_year,applied_date,male_count,female_count,others_count
62611,MADHYA PRADESH,23,BHIND,395,c,Dr Bhim Rao Ambedkar Shiksha Prasar Avam Samaj Sewa Samiti,"Dr. Bhim Rao Ambedkar shiksha prasar Avam samaj Seva Samiti A 21 Sidhastha Nagar Thatipur, Gwalior (M.P.) 474011",MP/2013/0061275,SC/MP/BHN/00769,"0, Ground Floor, Near Ambedkar Park, 0, Shyampura Pali Dirman",Non-Residential School,2,SC,MP/MP/00005348/SC/05-22/56144,2022-23,5/13/2022,,,
62628,MAHARASHTRA,27,PARBHANI,489,c,MAHARASHTRA SHIKSHAN PRASARAK MANDAL PARBHANI,"SHRI HARI NAGAR
BEHIND OF SANT TUKARAM COLLEGE
BASMAT ROAD PARBHANI",MH/2014/0079910,SC/MH/PBN/00452,"3098/11, GROUND FLOOR, BALIRAJA NAGAR KAREGAON, KAREGAON ROAD, PARBHANI",Hostel,3,SC,MH/MH/00003237/SC/05-22/56161,2022-23,5/11/2022,,,
62630,RAJASTHAN,8,HANUMANGARH,101,c,GAYANDEEP PUBLIC SCHOOL SAMITI PILIBANGA,"WARD NO 11 waterworks road, Pin-335803",RJ/2016/0107359,SC/RJ/HGH/01332,"00, GROUND FLOOR, AMAR SINGH HOUSE, KHETARPAL MANDIR KE PASS, WARD NO. 19, WATER WORKS ROAD, PILIBANGAN",Non-Residential School,2,SC,RJ/RJ/00005464/SC/05-22/56162,2022-23,5/12/2022,,,
62672,ANDHRA PRADESH,28,GUNTUR,506,c,MADDIRALA SIVAIAH MEMORIAL EDUCATIONAL SOCIETY,"M S M EDUCATIONAL SOCIETYAMARAVATHI ROAD,GORENTLAGUNTUR, Pin-000000",AP/2016/0104457,SC/AP/GNT/00427,"128-7-341, Ground, Building, Near Hosanna Mandhir, Gorantla, Amaravathi Road, Guntur",Non-Residential School,2,SC,AP/AP/00010312/SC/05-22/56178,2022-23,5/15/2022,,,
62673,TAMIL NADU,33,KALLAKURICHI,729,c,harijan sevak sangh,"Harijan Sevak Sangh,gandhi ashram,kingsway camp,Delhi-9",DL/2016/0104728,SC/TN/KLI/02302,"106, Ground, Building , Near ICICI Bank , Tirukoilur , North Street, Thirukovilur",Residential School,1,SC,TN/DL/00003689/SC/05-22/56179,2022-23,5/15/2022,,,
62708,ODISHA,21,NAYAGARH,367,c,Banki Anchalika Adibasi Harijan Kalyan parisad,"Banki Anchalika Adibasi Harijan Kalyan parisad
AT/Po- Banki
Dist- Cuttack
State- Odisha
Pin- 754008",OR/2009/0009996,SC/OR/NYG/03102,"290, 1st 2nd floor, Building, NEAR SUNAMNHI DYAM, Kainthapalli Khandapara NAC , Khandapara Nayagarh Road, Khandapara",Residential School,1,SC,OR/OR/00005060/SC/05-22/56208,2022-23,5/15/2022,,,
62717,UTTAR PRADESH,9,HARDOI,150,c,harijan sevak sangh,"Harijan Sevak Sangh,gandhi ashram,kingsway camp,Delhi-9",DL/2016/0104728,SC/UP/HAR/01609,"SA, Vill Sikanderpur, Near Tadiyawan Block, Gopamau Road, Hardoi",Residential School,1,SC,UP/DL/00003689/SC/05-22/56213,2022-23,5/9/2022,,,
62719,KARNATAKA,29,VIJAYAPURA,530,c,SHRI RAMAKRISHNA PARAMAHAMSA VIVEKANAND SAMSTE,"NIMBAL K.D. TAL: INDI, DIST: VIJAPUR, Pin-586211",KA/2021/0285821,SC/KA/VJP/08264,"NIMBAL KD, Ground floor, NIMBAL KD, NIMBAL, INDI",Non-Residential School,2,SC,KA/KA/00024878/SC/05-22/56215,2022-23,5/9/2022,,,
62803,KARNATAKA,29,RAMANAGARAM,631,c,Jnana Jyothi Jaibheem Education Society,"44th, 5th Cross, Hosahalli, Vijayanagara, Bangalore-560040, Pin-000000",KA/2016/0103740,SC/KA/RAM/01400,"117, GROUND, BEHIND CHUDALINGESWARA TEMPLE, SANGAM ROAD, ARALALU",Residential School,1,SC,KA/KA/00007175/SC/05-22/56286,2022-23,5/12/2022,,,
62816,RAJASTHAN,8,DAUSA,97,c,PRASHASVI SANSTHAN,"prasavi sansthan geeta bhwan vivekanand colony Dausa (Rajasthan)pin code 303303, Pin-000000",RJ/2016/0108315,SC/RJ/DAS/01301,"WARD NO 1, 2, BANDIKUI, NEAR CHOUTH MATA MANDITR, NEAR CHOUTH MATA MANDIR, BANDIKUI, BANDIKUI",Non-Residential School,2,SC,RJ/RJ/00004923/SC/05-22/56299,2022-23,5/10/2022,,,
62828,ODISHA,21,RAYAGADA,370,c,Servants of India Society,"Servants of India Society
846, Shivajinagar, BMCC Road
Pune - 411 004",MH/2012/0052519,SC/OR/RYG/00605,"TBA, Near GCD High School, Near Tahasil Office, GCD HIGH SCHOOL, Rayagada, Rayagada, RAYAGADA",Hostel,3,SC,OR/MH/00000946/SC/05-22/56311,2022-23,5/14/2022,,,
62847,WEST BENGAL,19,MALDAH,316,c,Gazole Good News Welfare Society,"VILL- SUKANTA PALLYPO PS- GAZOLEDIST- MALDAPIN-732124STATE- WEST BENGAL, Pin-732124",WB/2017/0169026,SC/WB/MLD/01676,"34, GROUND FLOOR, ADINA STATION, 8 MILE 34 SAMSABAD NATIONAL HIGHWAY , MALDAH",Hostel,3,SC,WB/WB/00020646/SC/05-22/56330,2022-23,5/9/2022,,,
62908,KARNATAKA,29,BANGALORE RURAL,526,c,Sri Ambika Education Trust,780 5th A cross Bhovi Colony Jalahalli Bangalore- 560013,KA/2016/0105873,SC/KA/BRR/00585,"158/9p, Ground , Kadanuru Kaimara , Kadanuru Kaimara , Doddaballapura Taulk",Residential School,1,SC,KA/KA/00002743/SC/05-22/56391,2022-23,5/11/2022,,,
62938,TELANGANA,36,JOGULAMBHA GADWAL,695,c,residential schools for the blind ,"residential schools for the blind 
RAGAVENDRA COLONY 
GADWAL 509125
",AP/2016/0106133,SC/TG/JGL/02521,"6-2-84, Ground Floor, Building, Rayachur Road, Raghvendra Colony, Rayachur Road, Gadwal",Residential School,1,SC,TG/TG/00004358/SC/05-22/56421,2022-23,5/15/2022,,,
62962,RAJASTHAN,8,UDAIPUR,117,c,Vishwa Bharti New Education Society,"Chhagan Colony,Badla,Kherwara Dist Udaipur, Pin-313803",RJ/2022/0312317,SC/RJ/UDP/08463,"000000, 00003, Banjariya, Banjariya, Kherwara",Residential School,1,SC,RJ/RJ/00026176/SC/05-22/56443,2022-23,5/22/2022,,,
62968,MAHARASHTRA,27,KOLHAPUR,480,c,SHRI SHWAMI SAMARTHA SHIKSHAN SANSTHA PETH VADGAON,"SHRI SWAMI SAMARTHA SHIKSHAN SANSTHA PETH VADGAON. TAL. HATKANANGALE. DIST. KOLHAPUR MAHARASHTRA PIN 416112, Pin-416112",MH/2014/0082936,SC/MH/KLP/01473,"147, First, Building, Birdev Mandir, Ganesh Colany, Kolhapur Road, Peth Vadgaon",Residential School,1,SC,MH/MH/00005061/SC/05-22/56449,2022-23,5/10/2022,,,
62990,MAHARASHTRA,27,CHANDRAPUR,473,c,AAI TULJA BHAVANI MAHILA SHIKSHAN AND PRASHIKSHAN SANSTHA,"AAI TULJA BHAVANI MAHILA SHIKSHAN AND PRASHIKSHAN SANSTHA JYOTINAGAR (GHATODI),PO-DHUNDI,TA-PUSAD,DIST-YAVATMAL (M.S.)PIN CODE-445204",MH/2014/0082631,SC/MH/CPR/00843,"159/1(B), GROUND FLOOR, NEAR MAHADEV TEMPLE, GOVARI-HIRAPUR ROAD, CHINCHOLI (KHURD)",Hostel,3,SC,MH/MH/00012479/SC/05-22/56471,2022-23,5/13/2022,,,
63028,DELHI,7,NORTH WEST   ,82,c,Shri Mukhtiar Singh Samriti Shiksha Samiti,"38, POOTH KALAN DELHI-110086",DL/2016/0105499,SC/DL/NWD/01468,"SECTOR-20, ROHINI, INFRONT OF SAFAI KARAMCHARI QUARTERS, BUDH BAZAR ROAD, DELHI",Non-Residential School,2,SC,DL/DL/00000162/SC/05-22/56509,2022-23,5/14/2022,,,
63030,UTTAR PRADESH,9,AGRA,118,c,SANT RAMDAS SHIKSHA SAMITI,"SANT RAMDAS SHIKSHA SAMITI ,VILLAGE GARHI DEORI,DEORI,DEORI ,AGRA UTTAR PRADESH, 282009, Pin-282009",UP/2020/0256195,SC/UP/AGR/00509,"Deori Road, Grahi Deori , Deori Road, Deori Road , Agra",Non-Residential School,2,SC,UP/UP/00021458/SC/05-22/56511,2022-23,5/10/2022,,,
63062,UTTAR PRADESH,9,BARABANKI,129,c,harijan sevak sangh,"Harijan Sevak Sangh,gandhi ashram,kingsway camp,Delhi-9",DL/2016/0104728,SC/UP/BRB/01338,"72, 1st, Vinoba Balika Awasiya Vidyalaya, Durga General Store, Badel Chauraha, Haidargarh Road, Barabanki",Residential School,1,SC,UP/DL/00003689/SC/05-22/56543,2022-23,5/13/2022,,,
63065,WEST BENGAL,19,HOOGHLY,312,c,Bharat Sevashram Sangha,"Village Panjipukur,
P.O. Sinhet. P.S. Dadpur,
Pin- 712305",WB/2016/0102172,SC/WB/HOO/01606,"102, 1, Tulsidevi High School, Harit Bilatpur Road, Chisurah",Hostel,3,SC,WB/WB/00013358/SC/05-22/56546,2022-23,5/10/2022,,,
